Negative,Neutral,Positive
0.008,0.372,0.62
0.013,0.621,0.366
0.0,0.002,0.998
0.071,0.239,0.69
0.073,0.064,0.863
0.004,0.013,0.983
0.012,0.106,0.882
0.011,0.023,0.967
0.018,0.114,0.868
0.027,0.188,0.784
0.009,0.139,0.852
0.501,0.232,0.268
0.501,0.232,0.268
0.099,0.315,0.585
0.153,0.35,0.497
0.07,0.272,0.658
0.09,0.46,0.45
0.014,0.079,0.908
0.047,0.023,0.929
0.398,0.471,0.131
0.865,0.105,0.029
0.703,0.227,0.07
0.001,0.01,0.989
0.543,0.31,0.147
0.587,0.205,0.208
0.336,0.462,0.202
0.002,0.012,0.986
0.397,0.408,0.194
0.952,0.015,0.032
0.089,0.7,0.211
0.128,0.646,0.226
0.194,0.568,0.237
0.394,0.245,0.361
0.493,0.117,0.39
0.132,0.193,0.675
0.572,0.139,0.289
0.041,0.11,0.848
0.077,0.351,0.573
0.001,0.005,0.995
0.009,0.955,0.036
0.806,0.18,0.014
0.055,0.057,0.888
0.88,0.056,0.064
0.055,0.057,0.888
0.88,0.056,0.064
0.806,0.18,0.014
0.298,0.461,0.241
0.498,0.38,0.123
0.572,0.217,0.211
0.028,0.029,0.943
0.572,0.217,0.211
0.649,0.277,0.074
0.687,0.118,0.195
0.549,0.317,0.134
0.008,0.106,0.886
0.323,0.421,0.256
0.462,0.193,0.345
0.593,0.126,0.28
0.349,0.363,0.288
0.103,0.198,0.699
0.005,0.037,0.958
0.435,0.39,0.175
0.108,0.212,0.68
0.001,0.006,0.993
0.001,0.035,0.964
0.052,0.686,0.262
0.384,0.416,0.199
0.127,0.16,0.713
0.007,0.028,0.965
0.002,0.019,0.979
0.091,0.245,0.664
0.01,0.04,0.95
0.096,0.252,0.652
0.018,0.085,0.897
0.944,0.048,0.009
0.019,0.057,0.924
0.509,0.301,0.19
0.434,0.255,0.311
0.248,0.284,0.468
0.357,0.572,0.071
0.8,0.109,0.092
0.367,0.447,0.186
0.438,0.472,0.09
0.926,0.046,0.028
0.259,0.188,0.553
0.004,0.118,0.878
0.041,0.746,0.213
0.041,0.746,0.213
0.941,0.043,0.016
0.022,0.163,0.814
0.04,0.873,0.087
0.19,0.713,0.097
0.922,0.063,0.014
0.006,0.129,0.866
0.45,0.128,0.421
0.005,0.034,0.962
0.233,0.368,0.399
0.435,0.183,0.382
0.108,0.695,0.198
0.329,0.54,0.131
0.179,0.602,0.219
0.196,0.603,0.201
0.696,0.234,0.07
0.044,0.106,0.85
0.09,0.209,0.701
0.093,0.17,0.737
0.407,0.451,0.142
0.172,0.518,0.31
0.046,0.548,0.406
0.038,0.157,0.805
0.314,0.534,0.153
0.057,0.745,0.198
0.918,0.061,0.02
0.69,0.245,0.065
0.899,0.016,0.085
0.715,0.213,0.072
0.451,0.245,0.304
0.544,0.086,0.37
0.193,0.035,0.772
0.655,0.274,0.072
0.915,0.074,0.011
0.601,0.309,0.09
0.004,0.01,0.986
0.034,0.836,0.13
0.0,0.001,0.999
0.008,0.01,0.982
0.062,0.838,0.099
0.943,0.035,0.022
0.018,0.108,0.874
0.584,0.268,0.148
0.737,0.153,0.11
0.544,0.357,0.099
0.442,0.358,0.2
0.065,0.253,0.682
0.009,0.173,0.818
0.468,0.337,0.195
0.198,0.324,0.478
0.552,0.35,0.098
0.002,0.032,0.966
0.55,0.363,0.087
0.005,0.033,0.961
0.734,0.16,0.106
0.035,0.239,0.725
0.017,0.304,0.679
0.235,0.498,0.267
0.205,0.36,0.435
0.113,0.72,0.167
0.081,0.097,0.822
0.882,0.095,0.024
0.601,0.218,0.181
0.066,0.708,0.227
0.525,0.316,0.159
0.205,0.259,0.536
0.93,0.054,0.016
0.002,0.028,0.97
0.002,0.036,0.962
0.002,0.036,0.962
0.006,0.019,0.975
0.392,0.396,0.212
0.711,0.056,0.233
0.011,0.098,0.891
0.538,0.382,0.08
0.327,0.576,0.097
0.352,0.155,0.493
0.0,0.003,0.997
0.556,0.359,0.086
0.856,0.116,0.028
0.838,0.104,0.058
0.107,0.369,0.524
0.629,0.135,0.236
0.651,0.092,0.257
0.834,0.125,0.04
0.351,0.389,0.259
0.024,0.094,0.882
0.9,0.097,0.003
0.672,0.279,0.049
0.848,0.061,0.091
0.528,0.382,0.09
0.137,0.119,0.744
0.001,0.045,0.954
0.203,0.648,0.149
0.037,0.606,0.357
0.615,0.35,0.035
0.055,0.23,0.715
0.535,0.29,0.175
0.826,0.133,0.041
0.002,0.014,0.984
0.047,0.131,0.822
0.706,0.25,0.045
0.374,0.155,0.47
0.387,0.453,0.161
0.016,0.082,0.902
0.131,0.175,0.694
0.438,0.383,0.179
0.82,0.151,0.029
0.679,0.193,0.128
0.004,0.015,0.981
0.076,0.669,0.255
0.001,0.017,0.982
0.456,0.453,0.091
